REF_AREA_LABEL,REF_AREA,TIME_PERIOD,crime_rank,UNIT_MEASURE,poverty,UNIT_MEASURE_LABEL_x,SEX,unemployment,UNIT_MEASURE_LABEL_y,COMP_BREAKDOWN_1
Cyprus,CYP,2019,36,RANK,14.3,Percentage of population,_T,6.263,Percentage,EADV
Cyprus,CYP,2019,36,RANK,14.3,Percentage of population,F,6.869,Percentage,EBAS
Cyprus,CYP,2019,36,RANK,14.3,Percentage of population,M,8.016,Percentage,EBAS
Cyprus,CYP,2019,36,RANK,14.3,Percentage of population,_T,7.59,Percentage,EBAS
Cyprus,CYP,2019,36,RANK,14.3,Percentage of population,F,9.314,Percentage,EINT
Cyprus,CYP,2019,36,RANK,14.3,Percentage of population,M,7.165,Percentage,EINT
Cyprus,CYP,2019,36,RANK,14.3,Percentage of population,_T,8.057,Percentage,EINT
Cyprus,CYP,2018,46,RANK,14.7,Percentage of population,F,8.092,Percentage,EADV
Cyprus,CYP,2018,46,RANK,14.7,Percentage of population,M,7.146,Percentage,EADV
Cyprus,CYP,2018,46,RANK,14.7,Percentage of population,_T,7.667,Percentage,EADV
Cyprus,CYP,2018,46,RANK,14.7,Percentage of population,F,10.537,Percentage,EBAS
Cyprus,CYP,2018,46,RANK,14.7,Percentage of population,M,9.192,Percentage,EBAS
Cyprus,CYP,2018,46,RANK,14.7,Percentage of population,_T,9.725,Percentage,EBAS
Cyprus,CYP,2018,46,RANK,14.7,Percentage of population,F,9.587,Percentage,EINT
Cyprus,CYP,2018,46,RANK,14.7,Percentage of population,M,8.559,Percentage,EINT
Cyprus,CYP,2018,46,RANK,14.7,Percentage of population,_T,8.997,Percentage,EINT
Cyprus,CYP,2017,69,RANK,15.4,Percentage of population,F,10.784,Percentage,EADV
Cyprus,CYP,2017,69,RANK,15.4,Percentage of population,M,8.669,Percentage,EADV
Cyprus,CYP,2017,69,RANK,15.4,Percentage of population,_T,9.846,Percentage,EADV
Cyprus,CYP,2017,69,RANK,15.4,Percentage of population,F,12.221,Percentage,EBAS
Cyprus,CYP,2017,69,RANK,15.4,Percentage of population,M,14.944,Percentage,EBAS
Cyprus,CYP,2017,69,RANK,15.4,Percentage of population,_T,13.804,Percentage,EBAS
Cyprus,CYP,2017,69,RANK,15.4,Percentage of population,F,11.992,Percentage,EINT
Cyprus,CYP,2017,69,RANK,15.4,Percentage of population,M,11.088,Percentage,EINT
Cyprus,CYP,2017,69,RANK,15.4,Percentage of population,_T,11.467,Percentage,EINT
Czechia,CZE,2019,20,RANK,9.5,Percentage of population,F,1.138,Percentage,EADV
Czechia,CZE,2019,20,RANK,9.5,Percentage of population,M,0.863,Percentage,EADV
Czechia,CZE,2019,20,RANK,9.5,Percentage of population,_T,0.996,Percentage,EADV
Czechia,CZE,2019,20,RANK,9.5,Percentage of population,F,11.554,Percentage,EBAS
Czechia,CZE,2019,20,RANK,9.5,Percentage of population,M,9.866,Percentage,EBAS
Czechia,CZE,2019,20,RANK,9.5,Percentage of population,_T,10.696,Percentage,EBAS
Czechia,CZE,2019,20,RANK,9.5,Percentage of population,F,2.113,Percentage,EINT
Czechia,CZE,2019,20,RANK,9.5,Percentage of population,M,1.477,Percentage,EINT
Czechia,CZE,2019,20,RANK,9.5,Percentage of population,_T,1.749,Percentage,EINT
Czechia,CZE,2018,14,RANK,10.1,Percentage of population,F,1.434,Percentage,EADV
Czechia,CZE,2018,14,RANK,10.1,Percentage of population,M,0.948,Percentage,EADV
